#
# context: https://medium.com/@nusenu/towards-cleaning-up-rpki-invalids-d69b03ab8a8c
#
# columns in that order:
#-------------------------
# source (trust anchor name)
# ASN according to ROA
# prefix according to ROA
# maxLength according to ROA (not all ROAs have that field)
# INVALID reason (length or ASN mismatch)
# announcing AS
# prefix
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.37.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.38.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.39.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.41.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.42.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.43.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.44.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.45.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.46.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.47.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.48.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.49.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.50.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.52.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.53.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.54.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.55.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.56.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.57.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.58.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.59.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.60.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.61.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.62.0/24
APNIC RPKI Root,AS45774,49.213.32.0/19,19,INVALID_LENGTH,AS45774,49.213.63.0/24
APNIC RPKI Root,AS131322,61.4.64.0/20,24,INVALID_ASN,AS18399,61.4.79.0/24
APNIC RPKI Root,AS23650,61.132.0.0/17,17,INVALID_ASN,AS4134,61.132.0.0/17
APNIC RPKI Root,AS23650,61.132.0.0/17,17,INVALID_LENGTH,AS23650,61.132.51.0/24
APNIC RPKI Root,AS23650,61.132.0.0/17,17,INVALID_LENGTH,AS23650,61.132.74.0/24
APNIC RPKI Root,AS23650,61.132.0.0/17,17,INVALID_LENGTH,AS23650,61.132.75.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS4134,61.147.0.0/16
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.136.0/21
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.165.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.166.0/23
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.168.0/21
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.176.0/22
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.180.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.189.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.190.0/23
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.199.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.204.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.205.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.210.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.211.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.212.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.213.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.214.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.215.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.216.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.217.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.218.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.219.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_LENGTH,AS23650,61.147.220.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.221.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.222.0/23
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.224.0/22
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.228.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.231.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.232.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.233.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.234.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.235.0/24
APNIC RPKI Root,AS23650,61.147.0.0/16,16,INVALID_ASN,AS131325,61.147.236.0/24
